Processing SITE: wnv5a0cscf0001c
Excel: Set 'ParameterName' = 'Warrenville 5 vCSCF-Core 1'
Excel: Started group cfx
Excel: Started group cfx/OfflineParameter
Excel: Set 'cfx/OfflineParameter/Srv.X2NetworkInterfaceIPv4Ce1' = '135.113.28.127'
Excel: Set 'cfx/OfflineParameter/Srv.X2NetworkInterfaceIPv6Ce1' = '2001:1890:e00f:3c00::4'
Excel: Set 'cfx/OfflineParameter/Srv.NetworkInterfaceCe1' = 'n/a'
Excel: Set 'cfx/OfflineParameter/Srv.TraceControlTid' = 'sip:+12345@nokia.com'
Excel: Set 'cfx/OfflineParameter/Srv.X1ReadMaxTargetsPerBlock' = '100'
Excel: Set 'cfx/OfflineParameter/Srv.X1ReadBlockGap' = '5'
Excel: Set 'cfx/OfflineParameter/Srv.X1MaxNumberOfRequestsPerIMSAdminReq' = '100'
Excel: Set 'cfx/OfflineParameter/Srv.ReRoutingActive' = 'false'
Excel: Set 'cfx/OfflineParameter/Srv.ReRoutingNoDeviceOnly' = 'true'
Excel: Set 'cfx/OfflineParameter/Srv.ReRoutingTargetFoundOnly' = 'false'
Excel: Set 'cfx/OfflineParameter/Srv.THIGCcCapable' = 'false'
Excel: Set 'cfx/OfflineParameter/Srv.DynamicBgfTriggering' = 'false'
Excel: Set 'cfx/OfflineParameter/Srv.DynamicBgfNoDeviceOnly' = 'true'
Excel: Set 'cfx/OfflineParameter/Srv.DynamicBgfTargetFoundOnly' = 'false'
Excel: Set 'cfx/OfflineParameter/Srv.IRIMemoryBufferEnable' = 'true'
Excel: Set 'cfx/OfflineParameter/Srv.StrippedSessionInfoHeaderGeneration' = 'false'
Excel: Set 'cfx/OfflineParameter/Srv.IriGenerationOnPcscf' = 'false'
Excel: Set 'cfx/OfflineParameter/Srv.ExtendedIriTriggering' = 'true'
Excel: Set 'cfx/OfflineParameter/Srv.ReRouting4BgcfBreakout' = 'false'
Excel: Set 'cfx/OfflineParameter/Srv.ReRouting4ImsBreakout' = 'false'
Excel: Set 'cfx/OfflineParameter/Srv.FDNInterceptionEnabled' = 'false'
Excel: Set 'cfx/OfflineParameter/Srv.FDNWildcardsAllowed' = 'false'
Excel: Set 'cfx/OfflineParameter/Srv.TargetDBMaxNumOfWildcards' = '1000'
Excel: Set 'cfx/OfflineParameter/Srv.TargetDBTreeNodesPerWildcard' = '10'
Excel: Set 'cfx/OfflineParameter/Srv.MultipartyInterceptionContinue' = 'true'
Excel: Set 'cfx/OfflineParameter/Srv.X1QueryTargetInformationSupport' = 'false'
Excel: Set 'cfx/OfflineParameter/Srv.LITriggerTable' = 'Blueprint'
Excel: Set 'cfx/OfflineParameter/Srv.LIDisableTrCFReRouting' = 'false'
Excel: Set 'cfx/OfflineParameter/Srv.IMEIInterception' = 'false'
Excel: Set 'cfx/OfflineParameter/Srv.IMSIInterception' = 'false'
Excel: Set 'cfx/OfflineParameter/Srv.IBCFSessionInfoHeaderHandling' = 'World_Market'
Excel: Set 'cfx/OfflineParameter/Srv.ExtendedIRIReporting' = 'false'
Excel: Set 'cfx/OfflineParameter/Srv.DomainWildcardInterception' = 'false'
Excel: Set 'cfx/OfflineParameter/Srv.MultiTenantRerouting' = 'false'
Excel: Set 'cfx/OfflineParameter/Srv.X2InterfaceCheck' = 'true'
Excel: Set 'cfx/OfflineParameter/Srv.ImplicitRegistrationSetInterception' = 'implicit_registration_set_triggering_REGISTER'
Excel: Set 'cfx/OfflineParameter/Srv.SCSCFSessionInfoHeaderHandling' = 'calea2_0'
Excel: Set 'cfx/OfflineParameter/Srv.GeoRedundancyHandling' = 'AdmfTriggered'
Excel: Set 'cfx/OfflineParameter/Srv.DF3AddressPortAdditional1' = 'n/a'
Excel: Set 'cfx/OfflineParameter/Srv.LocationInterception' = 'false'
Excel: Set 'cfx/OfflineParameter/Srv.CCMultiTenantInterception' = 'World_Market'
Excel: Set 'cfx/OfflineParameter/Srv.XInterfaceVariant' = 'H-ATIS'
Excel: Set 'cfx/OfflineParameter/Srv.LIFAsProxy' = 'false'
Excel: Set 'cfx/OfflineParameter/Srv.DialedDigitsExtraction' = 'true'
Excel: Set 'cfx/OfflineParameter/Srv.X2ServiceInfo' = 'true'
Excel: Set 'cfx/OfflineParameter/Srv.MsisdnSipToTel' = 'false'
Excel: Set 'cfx/OfflineParameter/Srv.RecoverTargetsFromPeer' = 'false'
Excel: Set 'cfx/OfflineParameter/Srv.PayloadEncryption' = 'false'
Excel: Set 'cfx/OfflineParameter/System.EnableCompressForTransactions.PCSCF' = 'true'
Excel: Set 'cfx/OfflineParameter/System.MaxForwardsUpperLimit.PCSCF' = '70'
Excel: Set 'cfx/OfflineParameter/System.SubscrExpireIntervalInc' = '300'
Excel: Set 'cfx/OfflineParameter/System.SipSupportedExtensions.PCSCF' = 'path 100rel pref privacy sec-agree gruu resource-priority'
Excel: Set 'cfx/OfflineParameter/System.RejectEmergencyReason' = 'VoIP emergency not available!'
Excel: Set 'cfx/OfflineParameter/System.SigCompDms' = '4'
Excel: Set 'cfx/OfflineParameter/System.SigCompSmsDecompressor' = '4'
Excel: Set 'cfx/OfflineParameter/System.SigCompSmsCompressor' = '4'
Excel: Set 'cfx/OfflineParameter/System.SigCompCpb' = '16'
Excel: Set 'cfx/OfflineParameter/System.SigCompEnableSharedMode' = 'false'
Excel: Set 'cfx/OfflineParameter/System.EnablePcscfSubscribe' = 'true'
Excel: Set 'cfx/OfflineParameter/System.GSMinBurstWaitDeregister' = '3'
Excel: Set 'cfx/OfflineParameter/System.AllowMaxMMservices.PCSCF' = '15'
Excel: Set 'cfx/OfflineParameter/System.MonitorMMServices.PCSCF' = 'true'
Excel: Set 'cfx/OfflineParameter/System.NpcfInterfaceTransport' = 'TLS'
Excel: Set 'cfx/OfflineParameter/System.NpcfInterfacePort' = '443'
Excel: Set 'cfx/OfflineParameter/System.DataNetworkName' = 'n/a'
Excel: Set 'cfx/OfflineParameter/System.PcscfInstanceId' = 'n/a'
Excel: Set 'cfx/OfflineParameter/PDFSupport.Configuration.CCEmode' = 'true'
Excel: Set 'cfx/OfflineParameter/PDFSupport.CLMSyncNumber' = '10000'
Excel: Set 'cfx/OfflineParameter/Ipsd.MaxSaLifetime' = '-1'
Excel: Set 'cfx/OfflineParameter/Ipsd.PeerTimeout' = '5'
Excel: Set 'cfx/OfflineParameter/Ipsd.SyncTimeout' = '60'
Excel: Set 'cfx/OfflineParameter/Ipsd.SyncRetrTimeout' = '5'
Excel: Set 'cfx/OfflineParameter/Ipsd.ReplayWindow' = '32'
Excel: Set 'cfx/OfflineParameter/Ipsd.OSeqInterval' = '100000'
Excel: Set 'cfx/OfflineParameter/Security.ObserveInt' = '5'
Excel: Set 'cfx/OfflineParameter/Security.RetransTime' = '10'
Excel: Set 'cfx/OfflineParameter/Security.InactivTime' = '3600'
Excel: Set 'cfx/OfflineParameter/Security.StunObserveInt' = '5'
Excel: Set 'cfx/OfflineParameter/Security.StunRetransTime' = '10'
Excel: Set 'cfx/OfflineParameter/Security.StunInactivTime' = '3600'
Excel: Set 'cfx/OfflineParameter/Security.TcpKeepAliveObserveInt' = '5'
Excel: Set 'cfx/OfflineParameter/Security.TCPKeepAliveBlkTime' = '180'
Excel: Set 'cfx/OfflineParameter/Srv.VzLiAvpFlag' = 'false'
Excel: Set 'cfx/OfflineParameter/System.TrafficaInstalled' = 'false'
Excel: Set 'cfx/OfflineParameter/System.TrafficaHeartbeatTimeOut' = '12'
Excel: Set 'cfx/OfflineParameter/System.VendorId' = '0'
Excel: Set 'cfx/OfflineParameter/System.SupportedTrafficaReportsTypes' = '9223372036854775807'
Excel: Set 'cfx/OfflineParameter/System.DisableAuthentication' = 'false'
Excel: Set 'cfx/OfflineParameter/System.EnableCompressForTransactions.SCSCF' = 'true'
Excel: Set 'cfx/OfflineParameter/System.EnablePersistenceFor3rdPartyRegister' = 'true'
Excel: Set 'cfx/OfflineParameter/System.MaxForwardsUpperLimit.SCSCF' = '70'
Excel: Set 'cfx/OfflineParameter/System.ScscfRouteOptim' = 'false'
Excel: Set 'cfx/OfflineParameter/System.SipSupportedExtensions.SCSCF' = 'path 100rel pref nsn-s-rest gruu resource-priority'
Excel: Set 'cfx/OfflineParameter/System.MaxNumberOfDeregUsers' = '500'
Excel: Set 'cfx/OfflineParameter/System.DeregUsersDelay' = '30'
Excel: Set 'cfx/OfflineParameter/System.AuthDummyDisableChallenging' = 'true'
Excel: Set 'cfx/OfflineParameter/System.ASReaffiliationSupport' = 'true'
Excel: Set 'cfx/OfflineParameter/System.EcscfTrcfFqdn' = 'n/a'
Excel: Set 'cfx/OfflineParameter/System.ScscfVnfIscFqdn' = 'n/a'
Excel: Set 'cfx/OfflineParameter/System.EcscfVnfFqdn' = 'n/a'
Excel: Set 'cfx/OfflineParameter/System.EnableSectorIdHandling' = 'false'
Excel: Set 'cfx/OfflineParameter/System.AllowMaxMMservices.SCSCF' = '15'
Excel: Set 'cfx/OfflineParameter/System.MonitorMMServices.SCSCF' = 'true'
Excel: Set 'cfx/OfflineParameter/System.IPBasedSIPCounters.SCSCF' = 'false'
Excel: Set 'cfx/OfflineParameter/System.IPBasedCxCounters.SCSCF' = 'false'
Excel: Set 'cfx/OfflineParameter/Timer.RegisterProcessDuration' = '32'
Excel: Set 'cfx/OfflineParameter/Charging.Online.MeaningOfECFAddress' = 'server'
Excel: Set 'cfx/OfflineParameter/LocalServices.ServiceIndication' = 'SvsData'
Excel: Set 'cfx/OfflineParameter/System.EnableCompressForTransactions.ICSCF' = 'true'
Excel: Set 'cfx/OfflineParameter/System.MaxForwardsUpperLimit.ICSCF' = '70'
Excel: Set 'cfx/OfflineParameter/System.SipSupportedExtensions.ICSCF' = 'path 100rel pref gruu resource-priority'
Excel: Set 'cfx/OfflineParameter/System.AddressResolutionMethod' = 'CxOnly'
Excel: Set 'cfx/OfflineParameter/System.IcscfCxOriginHost' = 'n/a'
Excel: Set 'cfx/OfflineParameter/System.AllowMaxMMservices.ICSCF' = '15'
Excel: Set 'cfx/OfflineParameter/System.MonitorMMServices.ICSCF' = 'true'
Excel: Set 'cfx/OfflineParameter/System.IPBasedSIPCounters.ICSCF' = 'false'
Excel: Set 'cfx/OfflineParameter/System.IPBasedCxCounters.ICSCF' = 'false'
Excel: Set 'cfx/OfflineParameter/System.EnableCompressForTransactions.BGCF' = 'true'
Excel: Set 'cfx/OfflineParameter/System.MaxForwardsUpperLimit.BGCF' = '70'
Excel: Set 'cfx/OfflineParameter/System.SipSupportedExtensions.BGCF' = 'path 100rel pref gruu resource-priority'
Excel: Set 'cfx/OfflineParameter/System.EnhancedBgcf' = 'false'
Excel: Set 'cfx/OfflineParameter/System.BGCFRoutingTableSearchAlgo' = 'LongestPrefixMatch'
Excel: Set 'cfx/OfflineParameter/System.AllowMaxMMservices.BGCF' = '15'
Excel: Set 'cfx/OfflineParameter/System.MonitorMMServices.BGCF' = 'true'
Excel: Set 'cfx/OfflineParameter/Ovl.LoadMeasureTimeout' = '250'
Excel: Set 'cfx/OfflineParameter/easip.sip.host' = 'fee-wnv5a0cscf0001c.wnv2il.uvp.itn.att.net'
Excel: Set 'cfx/OfflineParameter/easip.sip.port1' = '6086'
Excel: Set 'cfx/OfflineParameter/easip.sip.port2' = '6087'
Excel: Set 'cfx/OfflineParameter/easip.sip.port3' = '6088'
Excel: Set 'cfx/OfflineParameter/easip.sip.hostipv6' = 'fee-wnv5a0cscf0001c.wnv2il.uvp.itn.att.net'
Excel: Set 'cfx/OfflineParameter/easip.sip.SupportEvsCodecCache' = '0'
Excel: Set 'cfx/OfflineParameter/easip.diameter.host' = 'n/a'
Excel: Set 'cfx/OfflineParameter/easip.diameter.port' = 'n/a'
Excel: Set 'cfx/OfflineParameter/easip.diameter.identity' = 'wnv5a0cscf0001c.wnv2il.uvp.itn.att.net'
Excel: Set 'cfx/OfflineParameter/easip.diameter.hostipv6' = '2001:1890:e00f:3c00::4'
Excel: Set 'cfx/OfflineParameter/easip.dns.ip.version' = 'IPv6'
Excel: Set 'cfx/OfflineParameter/easip.dns.dnsproxyip' = '2001:1890:e00f:3c00::4'
Excel: Set 'cfx/OfflineParameter/easip.overload.heapSizeThreshold' = '90:96'
Excel: Set 'cfx/OfflineParameter/easip.httpproxy.port' = '6090'
Excel: Set 'cfx/OfflineParameter/easip.httpsproxy.port' = '6091'
Excel: Set 'cfx/OfflineParameter/System.EnableCompressForTransactions.EATF' = 'true'
Excel: Set 'cfx/OfflineParameter/System.MaxForwardsUpperLimit.EATF' = '70'
Excel: Set 'cfx/OfflineParameter/System.SipSupportedExtensions.EATF' = 'path 100rel pref gruu resource-priority'
Excel: Set 'cfx/OfflineParameter/System.MaxForwardsUpperLimit.STIAS' = '70'
Excel: Set 'cfx/OfflineParameter/System.SipSupportedExtensions.STIAS' = 'path 100rel pref gruu resource-priority'
Excel: Set 'cfx/OfflineParameter/System.EnableStiCr' = '0'
Excel: Set 'cfx/OfflineParameter/System.AllowMaxMMservices.STIAS' = '15'
Excel: Set 'cfx/OfflineParameter/System.MonitorMMServices.STIAS' = 'true'
Excel: Set 'cfx/OfflineParameter/System.NumOfPolicies' = '0'
Excel: Set 'cfx/OfflineParameter/System.NumOfPartners' = '0'
Excel: Set 'cfx/OfflineParameter/System.WDTNumOfRoutingGroups' = '0'
Excel: Set 'cfx/OfflineParameter/System.WTFNumOfRoutingGroups' = '0'
Excel: Set 'cfx/OfflineParameter/System.STIPvID1' = '0'
Excel: Set 'cfx/OfflineParameter/System.STIPvID2' = '0'
Excel: Set 'cfx/OfflineParameter/SSH_CIPHERS' = 'n/a'
Excel: Set 'cfx/OfflineParameter/SSH_MACS' = 'n/a'
Excel: Set 'cfx/OfflineParameter/SSH_KEX_ALGORITHMS' = 'n/a'
Excel: Set 'cfx/OfflineParameter/ImsDnsSearchlist' = 'n/a'
Excel: Set 'cfx/OfflineParameter/TLSEnabled' = 'false'
Excel: Set 'cfx/OfflineParameter/ECSCFRoleEnabled' = 'false'
Excel: Set 'cfx/OfflineParameter/System.IPPBXScalable' = '0'
Excel: Set 'cfx/OfflineParameter/System.IcmCfgOverride' = 'n/a'
Excel: Set 'cfx/OfflineParameter/System.Ipsec_IKE_Cipher' = 'aes_gcm256-sha2,chacha20_poly1305-sha2'
Excel: Set 'cfx/OfflineParameter/System.Ipsec_P2Alg_Cipher' = 'aes_gcm256,chacha20_poly1305'
Excel: Set 'cfx/OfflineParameter/DiameterCommon.BitsFromProcessCounter' = '0'
Excel: Set 'cfx/OfflineParameter/Srv.TermReroutingActive' = 'false'
Excel: Set 'cfx/OfflineParameter/System.IPPBXScalDeregNisrWaitTimer' = '2000'
Excel: Set 'cfx/OfflineParameter/System.NumOfINSEECodesToSupport' = '300000'
Excel: Set 'cfx/OfflineParameter/System.TDPPSSampInterval' = '1000'
Excel: Set 'cfx/OfflineParameter/System.TDPPSSampCount' = '5'
Excel: Set 'cfx/OfflineParameter/easip.fee.deployCallbackServlet' = '0'
Excel: Started group cfx/OfflineParameter/System.Portscardinality0..N
Excel: Set 'cfx/OfflineParameter/System.Portscardinality0..N/PortUser' = 'IMS_DNSPH'
Excel: Set 'cfx/OfflineParameter/System.Portscardinality0..N/Direction' = 'DNS_CE1_UDP'
Excel: Set 'cfx/OfflineParameter/System.Portscardinality0..N/Port' = '9970'
Excel: Set 'cfx/OfflineParameter/System.Portscardinality0..N/NetProtocol' = 'UDP'
Excel: Set 'cfx/OfflineParameter/System.Portscardinality0..N/Listen' = 'true'
Excel: Set 'cfx/OfflineParameter/System.Portscardinality0..N/Internal' = 'false'
Excel: Set 'cfx/OfflineParameter/System.Portscardinality0..N/DispatcherType' = 'Dns'
Excel: Set 'cfx/OfflineParameter/System.Portscardinality0..N/Connectivity' = 'Dns'
Excel: Set 'cfx/OfflineParameter/System.Portscardinality0..N/TestPort' = 'n/a'
Excel: Ended group System.Portscardinality0..N
Excel: Started group cfx/OfflineParameter/System.Portscardinality0..N
Excel: Set 'cfx/OfflineParameter/System.Portscardinality0..N/PortUser' = 'IMS_DNSPH'
Excel: Set 'cfx/OfflineParameter/System.Portscardinality0..N/Direction' = 'DNS_CE1_TCP'
Excel: Set 'cfx/OfflineParameter/System.Portscardinality0..N/Port' = '9970'
Excel: Set 'cfx/OfflineParameter/System.Portscardinality0..N/NetProtocol' = 'TCP'
Excel: Set 'cfx/OfflineParameter/System.Portscardinality0..N/Listen' = 'true'
Excel: Set 'cfx/OfflineParameter/System.Portscardinality0..N/Internal' = 'false'
Excel: Set 'cfx/OfflineParameter/System.Portscardinality0..N/DispatcherType' = 'Dns'
Excel: Set 'cfx/OfflineParameter/System.Portscardinality0..N/Connectivity' = 'Dns'
Excel: Set 'cfx/OfflineParameter/System.Portscardinality0..N/TestPort' = 'n/a'
Excel: Ended group System.Portscardinality0..N
Excel: Started group cfx/OfflineParameter/System.Portscardinality0..N
Excel: Set 'cfx/OfflineParameter/System.Portscardinality0..N/PortUser' = 'IMS_ICSCF'
Excel: Set 'cfx/OfflineParameter/System.Portscardinality0..N/Direction' = 'EXT_UDP'
Excel: Set 'cfx/OfflineParameter/System.Portscardinality0..N/Port' = '5080'
Excel: Set 'cfx/OfflineParameter/System.Portscardinality0..N/NetProtocol' = 'UDP'
Excel: Set 'cfx/OfflineParameter/System.Portscardinality0..N/Listen' = 'true'
Excel: Set 'cfx/OfflineParameter/System.Portscardinality0..N/Internal' = 'false'
Excel: Set 'cfx/OfflineParameter/System.Portscardinality0..N/DispatcherType' = 'Icscf'
Excel: Set 'cfx/OfflineParameter/System.Portscardinality0..N/Connectivity' = 'Mw'
